kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Kral, Johana, | Skandální plán /","Česko, Spojené státy americké, Kostarika, Řecko"
"Kratochvil, Jiří, | Škrtiči bohyně Kálí /","Česko, Rakousko, Polsko, Litva, Japonsko, Sovětský svaz"
"Kratochvílová, Helena, | Jednou na útěku, vždycky na útěku /","Česko, Německo"
"Krejčík, Přemysl, | Čokoláda pro wehrmacht :","Německo, Česko, Spojené státy americké, Polsko, Maďarsko, Francie"
"Kriseová, Eda, | Kočičí životy :","Ukrajina, Česko, Rusko, Polsko, Turecko"
"Krnáčová, Adriana, | Zpupnost /","Česko, Itálie, Indie, Bosna a Hercegovina, Spojené království, Ukrajina, Rusko, Čína, Spojené státy americké"
"Krpálková, Věra | V čase /",
"Krumlovská, Olga, | Setkání s tajemnem /",Česko
"Králík, Leopold | Milovníci sportu, aneb, Smrt darebáka /","Česká republika, Rusko"
"Krásný, Daniel, | Druhý dech /","Česko, Řecko, Maledivy, Rakousko, Francie"
"Krčmář, Milan | Případ Toman :","Česká republika, Německo, Rakousko-Uhersko, Rakousko, Polsko"
"Kubát, Luděk, | Poslední vejde smrt /","Itálie, Slovensko, Česko"
"Kubíková, Karla, | Dům na konci ulice :","Česko, Kuba, Francie, Německo"
"Kubíčková, Klára, | Stíny Vichrovského kláštera /","Spojené státy americké, Česko"
"Kucin, Jan, | Koruna snů.","Elisianské království, Zlatá země"
"Kudynová, Věra, | Jenom pro velký holky /","Česko, Řecko, Peru, Švýcarsko"
"Kultánová, Zuzana, | Zpíváš, jako bys plakala /","Česká republika, Belgie, Rusko"
"Kunešová, Lucie, | Ztracena v čase /",Česko
"Kučera, Štěpán, | Největší lekce dona Quijota :","Španělsko, Řecko, Turecko, Albánie, Alžírsko, Čína, Česko"
"Kučíková, Marta | Italské dvojhubky /","Itálie, Česko"
"Kučírková, Tereza, | U jedné náušnice /","Česko, Rakousko"
"Kvaš, Karolína, | Kamínky po kapsách /","Spojené státy americké, Rakousko, Česko"
"Kverková, Naďa, | Vraždy mezi koly /","Polsko, Česko"
"Kábrtová, Lidmila, | Čekání na spoušť /","Chorvatsko, Německo, Bosna a Hercegovina, Srbsko"
"König, Jakub, | Vřeteno :",
"Körnerová, Hana Marie, | Znamení jednorožce /","Francie, Spojené království Velké Británie a Irska, Rakousko, Rusko, Prusko, Švédsko, Itálie, Německo, Česko"
"Křivanec, Václav | Sagittarius /",Česko
"Křišťan, Lukáš, | Bestie v uniformě :",Česko
"Labudová, Ema, | Ani minuta ticha /","Česko, Itálie, Kongo"
"Labáková, Michaela, | Venkov /",Venkov
"Landsman, Dominik, | Híťovo kouzelné dobrodružství /","Německo, Rusko, Egypt, Spojené státy americké, Turecko, Británie, Slovensko, Bulharsko"
"Langová, Petra, | Písnička pro Klaudii /","Česká republika, Egypt, Spojené státy americké"
"Lauda, David, | Jednorožec /","Česká republika, Norsko, Sýrie, Senegal, Rusko, Čína, Německo, Severní Korea, Evropská unie"
"Lednická, Karin, | Životice :","Česká republika, Polsko, Německo, Československo, Rakousko-Uhersko"
